municipio,total_bib
Ágreda,1
Almarza,1
Almazán,1
Arcos de Jalón,1
Berlanga de Duero,1
Burgo de Osma-Ciudad de Osma,1
Covaleda,1
Duruelo de la Sierra,1
Golmayo,1
Medinaceli,1
Morón de Almazán,1
Navaleno,1
Ólvega,1
San Esteban de Gormaz,1
San Leonardo de Yagüe,1
San Pedro Manrique,1
Soria,3
Vinuesa,1
Alcanar,2
Alcover,1
Alforja,1
Altafulla,1
Amposta,1
Ascó,1
Banyeres del Penedès,1
Benifallet,1
Benissanet,1
Calafell,2
Camarles,1
Cambrils,1
Constantí,1
Corbera d'Ebre,1
Creixell,1
Cunit,1
Deltebre,1
El Catllar,1
El Perelló,1
El Vendrell,1
Els Pallaresos,1
Falset,1
Flix,1
Gandesa,1
Ginestar,1
L' Ametlla de Mar,1
L' Ampolla,1
L' Arboç,1
L' Espluga de Francolí,1
La Bisbal del Penedès,1
La Canonja,1
La Fatarella,1
La Nou de Gaià,1
La Selva del Camp,1
La Sénia,1
Llorenç del Penedès,1
Masdenverge,1
Montblanc,1
Mont-roig del Camp,2
Móra d'Ebre,1
Móra la Nova,1
Reus,2
Riba-roja d'Ebre,1
Riudoms,1
Roda de Berà,1
Roquetes,1
Salou,1
Sant Carles de la Ràpita,1
Sant Jaume d'Enveja,1
Santa Bàrbara,1
Santa Coloma de Queralt,1
Sarral,1
Tarragona,2
Tivissa,1
Torredembarra,2
Tortosa,3
Ulldecona,1
Valls,1
Vandellòs i l'Hospitalet de l'Infant,2
Vila-seca,2
Ador,1
Agullent,1
Aielo de Malferit,1
Aielo de Rugat,1
Alaquàs,1
Albaida,1
Albal,1
Albalat de la Ribera,1
Albalat dels Sorells,1
Albalat dels Tarongers,1
Alberic,1
Alborache,1
Alboraia/Alboraya,1
Albuixech,1
Alcàntera de Xúquer,1
Alcàsser,1
Alcublas,1
Aldaia,1
Alfafar,2
Alfara de la Baronia,1
Alfara del Patriarca,1
Alfarrasí,1
Algemesí,1
Alginet,1
Almàssera,1
Almoines,1
Almussafes,1
Alzira,1
Atzeneta d'Albaida,1
Ayora,1
Barx,1
Barxeta,1
Bèlgida,1
Bellreguard,1
Benaguasil,1
Benetússer,1
Beniarjó,1
Benicull de Xúquer,1
Benifaió,1
Benifairó de la Valldigna,1
Benifairó de les Valls,1
Benigànim,1
Benimodo,1
Beniparrell,1
Benirredrà,1
Bétera,1
Bicorp,1
Bocairent,1
Bolbaite,1
Bonrepòs i Mirambell,1
Buñol,1
Burjassot,1
Camporrobles,1
Canals,1
Canet d'En Berenguer,1
Carcaixent,1
Càrcer,1
Carlet,1
Castelló de Rugat,1
Catarroja,1
Caudete de las Fuentes,1
Chelva,1
Cheste,1
Chiva,1
Cofrentes,1
Corbera,1
Cotes,1
Cullera,1
Daimús,1
El Palomar,1
El Puig de Santa Maria,1
El Real de Gandía,1
Enguera,1
Faura,1
Foios,1
Fontanars dels Alforins,1
Fortaleny,1
Fuenterrobles,1
Gandia,7
Gilet,1
Godella,1
Godelleta,1
Guadasséquies,1
Guadassuar,1
Higueruelas,1
Jalance,1
Jarafuel,1
L' Alcúdia,1
L' Alcúdia de Crespins,1
L' Alqueria de la Comtessa,1
L' Eliana,1
L' Olleria,1
La Font de la Figuera,1
La Font d'En Carròs,1
La Llosa de Ranes,1
La Pobla de Farnals,1
La Pobla de Vallbona,1
La Pobla del Duc,1
La Pobla Llarga,1
Llíria,2
Llombai,1
Llutxent,1
Loriguilla,1
Macastre,1
Manises,3
Manuel,1
Marines,1
Massalavés,1
Massalfassar,1
Massamagrell,1
Massanassa,1
Meliana,1
Miramar,1
Mislata,3
Mogente/Moixent,1
Moncada,1
Montaverner,1
Montroi/Montroy,1
Montserrat,1
Museros,1
Náquera,1
Oliva,2
Ontinyent,3
Paiporta,1
Palma de Gandía,1
Palmera,1
Paterna,4
Pedralba,1
Picanya,1
Picassent,1
Piles,1
Polinyà de Xúquer,1
Potries,1
Puçol,1
Quart de les Valls,1
Quart de Poblet,1
Quatretonda,1
Rafelbunyol,1
Rafelcofer,1
Rafelguaraf,1
Requena,1
Riba-roja de Túria,2
Rocafort,1
Sagunto/Sagunt,2
Salem,1
Sedaví,1
Senyera,1
Serra,1
