,cp,municipio,provincia,ccaa
5789,28460,los_molinos,madrid,comunidad_de_madrid
5790,28470,cercedilla,madrid,comunidad_de_madrid
5791,28478,,madrid,comunidad_de_madrid
5792,28479,,madrid,comunidad_de_madrid
5793,28480,guadarrama,madrid,comunidad_de_madrid
5794,28490,becerril_de_la_sierra,madrid,comunidad_de_madrid
5795,28491,navacerrada,madrid,comunidad_de_madrid
5796,28492,el_boalo,madrid,comunidad_de_madrid
5797,28500,arganda_del_rey,madrid,comunidad_de_madrid
5798,28510,campo_real,madrid,comunidad_de_madrid
5799,28511,valdilecha,madrid,comunidad_de_madrid
5800,28512,villar_del_olmo,madrid,comunidad_de_madrid
5801,28513,,madrid,comunidad_de_madrid
5802,28514,nuevo_baztan,madrid,comunidad_de_madrid
5803,28515,olmeda_de_las_fuentes,madrid,comunidad_de_madrid
5804,28521,rivas_vaciamadrid,madrid,comunidad_de_madrid
5805,28522,rivas_vaciamadrid,madrid,comunidad_de_madrid
5806,28523,rivas_vaciamadrid,madrid,comunidad_de_madrid
5807,28524,rivas_vaciamadrid,madrid,comunidad_de_madrid
5808,28529,rivas_vaciamadrid,madrid,comunidad_de_madrid
5809,28530,morata_de_tajuna,madrid,comunidad_de_madrid
5810,28540,perales_de_tajuna,madrid,comunidad_de_madrid
5811,28550,tielmes,madrid,comunidad_de_madrid
5812,28560,carabana,madrid,comunidad_de_madrid
5813,28570,orusco_de_tajuna,madrid,comunidad_de_madrid
5814,28580,ambite,madrid,comunidad_de_madrid
5815,28590,villarejo_de_salvanes,madrid,comunidad_de_madrid
5816,28594,valdaracete,madrid,comunidad_de_madrid
5817,28595,estremera,madrid,comunidad_de_madrid
5818,28596,brea_de_tajo,madrid,comunidad_de_madrid
5819,28597,fuentiduena_de_tajo,madrid,comunidad_de_madrid
5820,28598,villamanrique_de_tajo,madrid,comunidad_de_madrid
5821,28600,navalcarnero,madrid,comunidad_de_madrid
5822,28607,el_alamo,madrid,comunidad_de_madrid
5823,28609,sevilla_la_nueva,madrid,comunidad_de_madrid
5824,28610,villamanta,madrid,comunidad_de_madrid
5825,28620,aldea_del_fresno,madrid,comunidad_de_madrid
5826,28630,villa_del_prado,madrid,comunidad_de_madrid
5827,28640,cadalso_de_los_vidrios,madrid,comunidad_de_madrid
5828,28648,cadalso_de_los_vidrios,madrid,comunidad_de_madrid
5829,28649,rozas_de_puerto_real,madrid,comunidad_de_madrid
5830,28650,cenicientos,madrid,comunidad_de_madrid
5831,28660,boadilla_del_monte,madrid,comunidad_de_madrid
5832,28668,,madrid,comunidad_de_madrid
5833,28669,,madrid,comunidad_de_madrid
5834,28670,villaviciosa_de_odon,madrid,comunidad_de_madrid
5835,28679,,madrid,comunidad_de_madrid
5836,28680,san_martin_de_valdeiglesias,madrid,comunidad_de_madrid
5837,28690,brunete,madrid,comunidad_de_madrid
5838,28691,villanueva_de_la_canada,madrid,comunidad_de_madrid
5839,28692,villanueva_de_la_canada,madrid,comunidad_de_madrid
5840,28693,quijorna,madrid,comunidad_de_madrid
5841,28694,chapineria,madrid,comunidad_de_madrid
5842,28695,navas_del_rey,madrid,comunidad_de_madrid
5843,28696,pelayos_de_la_presa,madrid,comunidad_de_madrid
5844,28700,san_sebastian_de_los_reyes,madrid,comunidad_de_madrid
5845,28701,san_sebastian_de_los_reyes,madrid,comunidad_de_madrid
5846,28702,san_sebastian_de_los_reyes,madrid,comunidad_de_madrid
5847,28703,san_sebastian_de_los_reyes,madrid,comunidad_de_madrid
5848,28706,san_sebastian_de_los_reyes,madrid,comunidad_de_madrid
5849,28707,colmenar_viejo,madrid,comunidad_de_madrid
5850,28708,san_sebastian_de_los_reyes,madrid,comunidad_de_madrid
